Data,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Bicicleta (ms),Duração de Inativa (ms),Duração de Caminhada (ms),Duração de Corrida (ms),Duração de Patinete (ms),Duração de Outra (ms)
2015-03-25,,,2064.0,,,,,,,,,,1.591593520147564,2.75,0.75,10188,,,,,77435946,5599996,,,
2015-03-26,,,2191.0,,,,,,,,,,1.020255277959096,18.311540603637695,0.5,12645,,,,,78503648,7133278,152996,,
2015-03-27,,,2971.0,,,,,,,,,,1.0666655622524925,2.5,0.5,7384,,,,,79354987,4645392,,,
2015-03-28,,,498.0,,,,,,,,,,1.6384461608496694,13.0,0.5,6163,,,,,75211633,4322766,,,
2015-03-29,,,382.0,,,,,,,,,,1.4840006902629406,4.031128883361816,1.0,5583,,,,,79346718,2559253,,,
2015-03-30,,,686.0,,,,,,,,,,1.346291184425354,1.346291184425354,1.346291184425354,10094,,,,,71735794,5372424,,,
2015-03-31,,,1126.0,,,,,,,,,,1.1180134131261519,2.0,0.5,9005,,,,,80375936,4911056,,,
2015-04-01,,,2684.0,,,,,,,,,,0.6249352203543319,2.3048861026763916,0.5,12388,,,,,76163241,8323892,,,
2015-04-02,,,1733.0,,,,,,,,,,1.1988702835283542,18.776647567749023,0.5,12701,,,,,78209574,6520807,,,
2015-04-03,,,,,,,,,,,,,1.410320916981666,7.420411109924316,0.5,1888,,,,,79779000,532379,,,
2015-04-04,,,27.0,,,,,,,,,,2.3304781092481632,4.0,0.5,2262,,,,,82538615,625612,,,
2015-04-05,,,,,,,,,,,,,0.8176798404010814,3.5,0.5,1393,,,,,82381552,237789,,,
2015-04-06,,,1637.0,,,,,,,,,,1.2779532059218912,2.3584952354431152,1.0,6643,,,,,79535232,3707156,,,
2015-04-07,,,1588.0,,,,,,,,,,1.0665819499068945,1.6770509481430054,0.5,4928,,,,,81851097,3088229,,,
2015-04-08,,,1909.0,,,,,,,,,,2.0909448531125814,3.25,0.5,6934,,,,,77760975,4033163,61159,,
2015-04-09,,,2903.0,,,,,,,,,,0.899488437870844,1.0307763814926147,0.5,9490,,,,,78719201,4947639,,,
2015-04-10,,,2107.0,,,,,,,,,,0.8486488543762531,8.75,0.5,10719,,,,,77372328,6159093,,,
2015-04-11,,,587.0,,,,,,,,,,2.6058958300623725,6.25,0.7071067690849304,5694,,,,,76515343,2562073,,,
2015-04-12,,,1212.0,,,,,,,,,,2.5319705468108396,17.0,0.5,6456,,,,,75800516,3843605,61009,,
2015-04-13,,,2493.0,,,,,,,,,,1.375,1.5,1.25,10596,,,,,69764932,6096311,62867,,
2015-04-14,,,824.0,,,,,,,,,,2.9288873537781934,19.0,0.5,4431,,,,,74614613,2568904,,,
2015-04-15,,,2292.0,,,,,,,,,,4.268835945881702,15.258194923400879,1.0,8130,,,,,70570391,4908333,,,
2015-04-16,,,3012.0,,,,,,,,,,1.275877476975348,18.5,0.5,7768,,,,,73317536,4865381,,,
2015-04-17,,,1275.0,,,,,,,,,,1.0217727313144902,5.75,0.75,7633,,,,,77755763,4192104,,,
2015-04-18,,,226.0,,,,,,,,,,1.3011695300832433,12.25,0.5,2804,,,,,76375783,1105840,,,
2015-04-19,,,259.0,,,,,,,,,,2.6787992267547662,9.0,0.5,2886,,,,,75505500,1391352,,,
2015-04-20,,,2257.0,,,,,,,,,,0.9237298581172295,1.5811388492584229,0.7071067690849304,4901,,,,1585357,77504977,2867273,,,
2015-04-21,,,465.0,,,,,,,,,,1.280552598397348,10.0,0.5,7268,,,,,78246376,4146351,,,
2015-04-22,,,3739.0,,,,,,,,,,1.6116886570904367,4.75,0.5,11668,,,,,76802211,6994555,,,
2015-04-23,,,2915.0,,,,,,,,,,1.0214835048509312,2.5,0.5,14456,,,,,76246407,8111460,,,
2015-04-24,,,793.0,,,,,,,,,,1.2533556179436236,5.0,0.5,10699,,,,,69278258,6310039,60972,,
2015-04-25,,,696.0,,,,,,,,,,3.9049135733187748,30.25,0.5,6637,,,,,68366360,2954256,66892,,
2015-04-26,,,1582.0,,,,,,,,,,3.2192770469713183,13.75,0.5,3961,,,,1068633,75000535,2132629,,,
2015-04-27,,,677.0,,,,,,,,,,1.7497154342590806,5.814851760864258,0.5,6880,,,,,75699016,4006951,,,
2015-04-28,,,20.0,,,,,,,,,,1.954829214204205,6.823671817779541,0.5,3840,,,,,73966665,1485160,,,
2015-04-29,,,45.0,,,,,,,,,,1.1645368808384646,6.0,0.5,3545,,,,,78304451,2258031,,,
2015-04-30,,,1422.0,,,,,,,,,,1.0839010452904612,2.0,0.55901700258255,9061,,,,,77814242,4917343,,,
2015-05-01,,,,,,,,,,,,,7.530723430494746,30.13822364807129,0.55901700258255,520,,,,,71232499,180033,,,
