Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Bicicleta (ms),Duração de Inativa (ms),Duração de Caminhada (ms)
18:30:00.000-03:00,18:45:00.000-03:00,,14.825519940495793,,,,,,,,,,,,,,9,,,,,900000,
18:45:00.000-03:00,19:00:00.000-03:00,,14.825519940495793,,,,,,,,,,,,,,2,,,,,900000,
19:00:00.000-03:00,19:15:00.000-03:00,,20.283540186919748,132.53732681274414,,,,,,,,,,,,,245,,,,,144243,124915
19:15:00.000-03:00,19:30:00.000-03:00,,14.825520647711535,,,,,,,,,,,,,,204,,,,,586490,
19:30:00.000-03:00,19:45:00.000-03:00,,14.82552030946526,,,,,,,,,,,,,,48,,,,,217586,
19:45:00.000-03:00,20:00:00.000-03:00,,14.825519992972062,,,,,,,,,,,,,,112,,,,,373437,
20:00:00.000-03:00,20:15:00.000-03:00,,14.825520491731298,,,,,,,,,,,,,,190,,,,,181893,
20:15:00.000-03:00,20:30:00.000-03:00,,14.825521585439287,,,,,,,,,,,,,,13,,,,,900000,
20:30:00.000-03:00,20:45:00.000-03:00,,14.825521585439287,,,,,,,,,,,,,,20,,,,,900000,
20:45:00.000-03:00,21:00:00.000-03:00,,14.825521585439287,,,,,,,,,,,,,,,,,,,900000,
21:00:00.000-03:00,21:15:00.000-03:00,,14.825520027552018,,,,,,,,,,,,,,154,,,,,482370,
21:15:00.000-03:00,21:30:00.000-03:00,,14.825520112146634,,,,,,,,,,,,,,131,,,,,587931,
21:30:00.000-03:00,21:45:00.000-03:00,,22.839848891073785,58.51175647974014,,,,,,,,,,,,,569,,,,,228673,183420
21:45:00.000-03:00,22:00:00.000-03:00,,32.354232874252574,266.24142360687256,,,,,,,,,,,,,574,,,,,344455,401171
22:00:00.000-03:00,22:15:00.000-03:00,,14.825520798935639,,,,,,,,,,,,,,65,,,,,900000,
22:15:00.000-03:00,22:30:00.000-03:00,,14.825520798935639,,,,,,,,,,,,,,,,,,,900000,
22:30:00.000-03:00,22:45:00.000-03:00,,14.825520798935639,,,,,,,,,,,,,,1,,,,,900000,
22:45:00.000-03:00,23:00:00.000-03:00,,18.137645536090226,46.90523147583008,,,,,,,,,,,,,91,,,,,82042,75803
23:00:00.000-03:00,23:15:00.000-03:00,,14.825519051501631,,,,,,,,,,,,,,,,,,,,
23:15:00.000-03:00,23:30:00.000-03:00,,14.825519347417394,,,,,,,,,,,,,,,,,,,207551,
23:30:00.000-03:00,23:45:00.000-03:00,,14.825520334676302,,,,,,,,,,,,,,,,,,,900000,
23:45:00.000-03:00,00:00:00.000-03:00,,14.825520334676302,,,,,,,,,,,,,,11,,,,,900000,
