Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Caminhada (ms),Duração de Corrida (ms)
12:00:00.000-03:00,12:15:00.000-03:00,,15.742187880545117,0.3442280945757997,,,,,,,,,,3.8247561315074563E-4,3.8247561315074563E-4,3.8247561315074563E-4,1,,,,,
12:15:00.000-03:00,12:30:00.000-03:00,,15.742187880545117,0.3442280945757997,,,,,,,,,,,,,1,,,,,
12:30:00.000-03:00,12:45:00.000-03:00,,15.742187880545117,0.3442280945757997,,,,,,,,,,,,,1,,,,,
12:45:00.000-03:00,13:00:00.000-03:00,,15.742187880545117,0.3442280945757997,,,,,,,,,,,,,1,,,,,
13:00:00.000-03:00,13:15:00.000-03:00,,15.742187880545117,0.3442280945757997,,,,,,,,,,,,,1,,,,,
13:15:00.000-03:00,13:30:00.000-03:00,,15.742187880545117,0.3442280945757997,,,,,,,,,,,,,1,,,,,
13:30:00.000-03:00,13:45:00.000-03:00,,15.742187880545117,0.3442280945757997,,,,,,,,,,,,,1,,,,,
13:45:00.000-03:00,14:00:00.000-03:00,,15.742187880545117,0.3442280945757997,,,,,,,,,,,,,1,,,,,
14:00:00.000-03:00,14:15:00.000-03:00,,15.742187880545117,0.3442280945757997,,,,,,,,,,,,,1,,,,,
14:15:00.000-03:00,14:30:00.000-03:00,,15.742187880545117,0.3442280945757997,,,,,,,,,,,,,1,,,,,
14:30:00.000-03:00,14:45:00.000-03:00,,15.742187880545117,0.3442280945757997,,,,,,,,,,,,,1,,,,,
14:45:00.000-03:00,15:00:00.000-03:00,3,18.509399720709357,0.3442280945757997,,,,,,,,,,,,,1,,,,,20560
15:00:00.000-03:00,15:15:00.000-03:00,3,24.4812045570893,0.3442280945757997,,,,,,,,,,,,,1,,,,121415,11197
15:15:00.000-03:00,15:30:00.000-03:00,,15.742187021732756,0.3442280945757997,,,,,,,,,,,,,1,,,,,
