Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Inativa (ms),Duração de Corrida (ms)
20:15:00.000-03:00,20:30:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,88,,,,900000,
20:30:00.000-03:00,20:45:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,238,,,,900000,
20:45:00.000-03:00,21:00:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,11,,,,900000,
21:00:00.000-03:00,21:15:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,21,,,,900000,
21:15:00.000-03:00,21:30:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,,,,,900000,
21:30:00.000-03:00,21:45:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,,,,,900000,
21:45:00.000-03:00,22:00:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,,,,,900000,
22:00:00.000-03:00,22:15:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,,,,,900000,
22:15:00.000-03:00,22:30:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,,,,,900000,
22:30:00.000-03:00,22:45:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,,,,,900000,
22:45:00.000-03:00,23:00:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,40,,,,900000,
23:00:00.000-03:00,23:15:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,,,,,900000,
23:15:00.000-03:00,23:30:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,311,,,,900000,
23:30:00.000-03:00,23:45:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,252,,,,900000,
23:45:00.000-03:00,00:00:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,74,,,,900000,
