Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Bicicleta (ms),Duração de Caminhada (ms)
16:45:00.000-03:00,17:00:00.000-03:00,,15.929687465230622,,,,,,,,,,,,,,,,,,,
17:00:00.000-03:00,17:15:00.000-03:00,,15.929687465230622,,,,,,,,,,,,,,,,,,,
17:15:00.000-03:00,17:30:00.000-03:00,,15.929687465230622,,,,,,,,,,,,,,,,,,,
17:30:00.000-03:00,17:45:00.000-03:00,,15.929687465230622,,,,,,,,,,,,,,,,,,,
17:45:00.000-03:00,18:00:00.000-03:00,,15.929687465230622,16.318795968367102,,,,,,,,,,0.2719799328061184,0.2719799328061184,0.2719799328061184,57,,,,,
18:00:00.000-03:00,18:15:00.000-03:00,,15.929687465230625,,,,,,,,,,,,,,,,,,,
18:15:00.000-03:00,18:30:00.000-03:00,,15.929687465230625,1.6201215982378847,,,,,,,,,,,,,3,,,,,
18:30:00.000-03:00,18:45:00.000-03:00,9,19.068729543204658,252.40393042594036,,,,,,,,,,0.5365994573505698,1.0968917600189645,0.2615191661597292,399,,,,,58504
18:45:00.000-03:00,19:00:00.000-03:00,1,15.946911009517674,35.39849186227534,,,,,,,,,,0.3138229815386343,0.3138229815386343,0.3138229815386343,56,,,,,321
19:00:00.000-03:00,19:15:00.000-03:00,3,26.317040691456203,201.12694726790912,1.0,1,,,,,,,,1.176949204638686,1.42251136216569,0.6309288303068867,288,,,,,193592
19:15:00.000-03:00,19:30:00.000-03:00,,15.929687465230625,16.318795968367102,,,,,,,,,,0.3032310567197322,0.3032310567197322,0.3032310567197322,26,,,,,
19:30:00.000-03:00,19:45:00.000-03:00,,15.929687465230625,,,,,,,,,,,,,,17,,,,,
19:45:00.000-03:00,20:00:00.000-03:00,,15.929687465230625,25.105839951333998,,,,,,,,,,0.36919583047139215,0.43502942819749846,0.30336223274528584,53,,,,,
20:00:00.000-03:00,20:15:00.000-03:00,,22.767702826695146,,,,,,,,,,,,,,,,,,,127442
20:15:00.000-03:00,20:30:00.000-03:00,,15.929687465230623,,,,,,,,,,,,,,,,,,,
20:30:00.000-03:00,20:45:00.000-03:00,,15.929687465230623,,,,,,,,,,,,,,,,,,,
20:45:00.000-03:00,21:00:00.000-03:00,,15.929687465230623,,,,,,,,,,,,,,,,,,,
21:00:00.000-03:00,21:15:00.000-03:00,,15.929687465230623,,,,,,,,,,,,,,,,,,,
21:15:00.000-03:00,21:30:00.000-03:00,,15.929687465230623,,,,,,,,,,,,,,,,,,,
21:30:00.000-03:00,21:45:00.000-03:00,,15.929687465230623,,,,,,,,,,,,,,,,,,,
21:45:00.000-03:00,22:00:00.000-03:00,,15.929687465230623,,,,,,,,,,,,,,,,,,,
22:00:00.000-03:00,22:15:00.000-03:00,,15.929687465230623,,,,,,,,,,,,,,,,,,,
22:15:00.000-03:00,22:30:00.000-03:00,,15.929687465230623,,,,,,,,,,,,,,,,,,,
22:30:00.000-03:00,22:45:00.000-03:00,1,15.929687465230623,13.550966204023275,,,,,,,,,,0.29290146609889667,0.29290146609889667,0.29290146609889667,22,,,,,
22:45:00.000-03:00,23:00:00.000-03:00,,19.359211702599215,26.618377718111127,,,,,,,,,,0.3138229815386343,0.3138229815386343,0.3138229815386343,42,,,,,63917
23:00:00.000-03:00,23:15:00.000-03:00,,15.929687465230623,,,,,,,,,,,,,,,,,,,
23:15:00.000-03:00,23:30:00.000-03:00,,15.929687465230623,,,,,,,,,,,,,,,,,,,
23:30:00.000-03:00,23:45:00.000-03:00,,15.929687465230623,,,,,,,,,,,,,,,,,,,
23:45:00.000-03:00,00:00:00.000-03:00,,15.929687465230623,,,,,,,,,,,,,,,,,,,
