Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Bicicleta (ms),Duração de Inativa (ms),Duração de Caminhada (ms),Duração de Patinete (ms)
14:30:00.000-03:00,14:45:00.000-03:00,,16.127604424033176,,,,,,,,,,,,,,,,,,,900000,,
14:45:00.000-03:00,15:00:00.000-03:00,,18.516136728736424,28.993067741394043,,,,,,,,,,0.28392036259174347,0.3001168370246887,0.2677238881587982,42,,,,,856918,43082,
15:00:00.000-03:00,15:15:00.000-03:00,6,29.394487313384612,191.47614669799805,,,,,,-23.4252577,-51.9203227,-23.4252515,-51.9203056,0.5374831266925832,0.8380585312843323,0.3212687075138092,326,,,,,323941,239295,
15:15:00.000-03:00,15:30:00.000-03:00,10,43.13079965016108,426.87220053043484,1.0,1,,,,-23.4193869,-51.932878,-23.4188857,-51.9324051,0.7500111299832144,1.3718770742416382,0.27843284606933594,637,,,,,63823,487057,
15:30:00.000-03:00,15:45:00.000-03:00,2,17.635780136684698,63.26378818187594,,,,,,-23.4187918,-51.9325772,-23.4187697,-51.9325439,0.55678756960775,1.2215769290924072,0.3212687075138092,122,,,,,872797,27203,
15:45:00.000-03:00,16:00:00.000-03:00,10,40.05374126818812,517.5232887268066,3.0,3,,,,-23.4167805,-51.9331424,-23.4162995,-51.9328919,0.8916900279498746,1.2942837476730347,0.3212686777114868,712,,,,,468443,431557,
16:00:00.000-03:00,16:15:00.000-03:00,1,33.19395301802638,48.832844376564026,,,,,,,,,,0.3212687075138092,0.3212687075138092,0.3212687075138092,86,,,,,231652,307826,
16:15:00.000-03:00,16:30:00.000-03:00,4,29.37608791205277,156.98664093017578,,,,,,-23.4171505,-51.9337635,-23.4171505,-51.9337635,0.7555046771069459,1.1896764039993286,0.3212686777114868,299,,,,,661036,238964,
16:30:00.000-03:00,16:45:00.000-03:00,,16.127604912485975,,,,,,,,,,,0.5323704481124878,0.5323704481124878,0.5323704481124878,,,,,,900000,,
16:45:00.000-03:00,17:00:00.000-03:00,,16.127604912485975,,,,,,,,,,,,,,,,,,,900000,,
17:00:00.000-03:00,17:15:00.000-03:00,3,25.806182264996114,187.01095335820895,1.0,1,,,,,,,,1.0850340127944946,1.375046730041504,0.7950212955474854,283,,,,,725427,174573,
17:15:00.000-03:00,17:30:00.000-03:00,3,28.127426620736436,182.05365283151883,1.0,1,,,,,,,,0.8360137952818307,1.3102120161056519,0.2861444056034088,261,,,,,86564,216441,
17:30:00.000-03:00,17:45:00.000-03:00,,16.127605438232422,,,,,,,,,,,,,,,,,,,900000,,
17:45:00.000-03:00,18:00:00.000-03:00,1,16.127605438232422,31.484333038330078,,,,,,,,,,0.5190038532018661,0.7167389988899231,0.3212687075138092,49,,,,,900000,,
18:00:00.000-03:00,18:15:00.000-03:00,,16.127605438232422,,,,,,,,,,,,,,,,,,,900000,,
18:15:00.000-03:00,18:30:00.000-03:00,1,20.22634361999544,73.04044541260959,1.0,1,89.59994922020095,105.0,66.0,,,,,0.32860031196410544,0.4057418406009674,0.27843284606933594,114,,,,,826071,73929,
18:30:00.000-03:00,18:45:00.000-03:00,3,24.724980032015054,143.0192526922488,1.0,1,93.78430559797548,111.0,49.0,,,,,1.513455801098605,2.331814765930176,0.30313676595687866,216,,,,,635575,155071,
18:45:00.000-03:00,19:00:00.000-03:00,,16.12760353088379,,,,,,,,,,,0.6344503164291382,0.6344503164291382,0.6344503164291382,,,,,,900000,,
19:00:00.000-03:00,19:15:00.000-03:00,,16.12760353088379,,,,,,,,,,,3.429431534113442,6.224671840667725,0.6344503164291382,,,,,,900000,,
19:15:00.000-03:00,19:30:00.000-03:00,,16.12760353088379,,,,,,,,,,,6.224671840667725,6.224671840667725,6.224671840667725,,,,,,900000,,
19:30:00.000-03:00,19:45:00.000-03:00,,16.12760353088379,,,,,,,,,,,,,,,,,,,900000,,
19:45:00.000-03:00,20:00:00.000-03:00,,16.12760353088379,,,,,,,,,,,1.3381708456704882,1.515649437904358,0.6734789609909058,,,,,,900000,,
20:00:00.000-03:00,20:15:00.000-03:00,,16.12760353088379,,,,,,,,,,,0.6734789609909058,0.6734789609909058,0.6734789609909058,,,,,,900000,,
20:15:00.000-03:00,20:30:00.000-03:00,,16.12760353088379,,,,,,,,,,,,,,,,,,,900000,,
20:30:00.000-03:00,20:45:00.000-03:00,,16.12760353088379,,,,,,,,,,,,,,,,,,,900000,,
20:45:00.000-03:00,21:00:00.000-03:00,,16.12760353088379,,,,,,,,,,,,,,,,,,,900000,,
21:00:00.000-03:00,21:15:00.000-03:00,,16.12760353088379,,,,,,,,,,,,,,,,,,,900000,,
21:15:00.000-03:00,21:30:00.000-03:00,,16.12760353088379,,,,,,,,,,,,,,,,,,,900000,,
21:30:00.000-03:00,21:45:00.000-03:00,,16.12760353088379,,,,,,,,,,,,,,,,,,,900000,,
21:45:00.000-03:00,22:00:00.000-03:00,,16.12760353088379,,,,,,,,,,,0.955931693315506,0.9572221636772156,0.9546412229537964,,,,,,900000,,
22:00:00.000-03:00,22:15:00.000-03:00,,16.12760353088379,,,,,,,,,,,0.9572221636772156,0.9572221636772156,0.9572221636772156,,,,,,900000,,
22:15:00.000-03:00,22:30:00.000-03:00,,16.12760353088379,,,,,,,,,,,,,,,,,,,900000,,
22:30:00.000-03:00,22:45:00.000-03:00,,16.12760353088379,,,,,,,,,,,,,,,,,,,900000,,
22:45:00.000-03:00,23:00:00.000-03:00,,16.12760353088379,,,,,,,,,,,1.6895774298074218,2.6905148029327393,0.6127225756645203,,,,,,900000,,
23:00:00.000-03:00,23:15:00.000-03:00,,16.12760353088379,,,,,,,,,,,2.6778967380523677,2.677896738052368,2.677896738052368,,,,,,900000,,
23:15:00.000-03:00,23:30:00.000-03:00,,16.12760353088379,,,,,,,,,,,2.677896738052368,2.677896738052368,2.677896738052368,,,,,,900000,,
23:30:00.000-03:00,23:45:00.000-03:00,,16.12760353088379,,,,,,,,,,,2.677896738052368,2.677896738052368,2.677896738052368,,,,,,900000,,
23:45:00.000-03:00,00:00:00.000-03:00,,16.12760353088379,,,,,,,,,,,1.99787437915802,1.99787437915802,1.99787437915802,,,,,,900000,,
