nr_votavel,nm_votavel,nome_do_local,latitude,longitude,votos_local,votos_candidato,prop_votos,grupo,geometry
10123,CRISTIAN MARCOS MAIA DA SILVA,COLÉGIO ESTADUAL JOAO DE FARIA PIOLI,-23.4146433,-51.9125051,27,2090,0.01291866028708134,Maringá,"c(-51.9125051, -23.4146433)"
10123,CRISTIAN MARCOS MAIA DA SILVA,COLÉGIO ESTADUAL MARCO ANTONIO PIMENTA,-23.4277898,-51.8966975,25,2090,0.011961722488038277,Maringá,"c(-51.8966975, -23.4277898)"
10123,CRISTIAN MARCOS MAIA DA SILVA,COLÉGIO ESTADUAL TANCREDO DE ALMEIDA NEVES,-23.4032521,-51.8942725,19,2090,0.00909090909090909,Maringá,"c(-51.8942725, -23.4032521)"
10123,CRISTIAN MARCOS MAIA DA SILVA,COLÉGIO ESTADUAL TANIA VARELLA FERREIRA,-23.4099832,-51.8739394,36,2090,0.01722488038277512,Maringá,"c(-51.8739394, -23.4099832)"
10123,CRISTIAN MARCOS MAIA DA SILVA,COLÉGIO ESTADUAL UNIDADE POLO,-23.3970538,-51.9147579,29,2090,0.013875598086124402,Maringá,"c(-51.9147579, -23.3970538)"
10123,CRISTIAN MARCOS MAIA DA SILVA,COLÉGIO ESTADUAL VITAL BRASIL,-23.41553779,-51.93140469,9,2090,0.00430622009569378,Maringá,"c(-51.93140469, -23.41553779)"
10123,CRISTIAN MARCOS MAIA DA SILVA,COLÉGIO INTERAÇÃO (GRAHAM BELL) - (PARTICULAR),-23.417065,-51.923,1,2090,4.784688995215311e-4,Maringá,"c(-51.923, -23.417065)"
10123,CRISTIAN MARCOS MAIA DA SILVA,COLÉGIO PARANÁ - (PARTICULAR),-23.4164882,-51.9414806,11,2090,0.005263157894736842,Maringá,"c(-51.9414806, -23.4164882)"
10123,CRISTIAN MARCOS MAIA DA SILVA,COLÉGIO REGINA MUNDI - (PARTICULAR),-23.43048742,-51.93230392,11,2090,0.005263157894736842,Maringá,"c(-51.93230392, -23.43048742)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA ADVENTISTA - (PARTICULAR),-23.4268381,-51.9477021,2,2090,9.569377990430622e-4,Maringá,"c(-51.9477021, -23.4268381)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA ESTADUAL  THEOBALDO MIRANDA SANTOS,-23.4269416,-51.9263751,11,2090,0.005263157894736842,Maringá,"c(-51.9263751, -23.4269416)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA ESTADUAL ALFREDO MOISES MALUF,-23.381166,-51.9402283,6,2090,0.0028708133971291866,Maringá,"c(-51.9402283, -23.381166)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA ESTADUAL BRASILIO ITIBERE,-23.4329087,-51.93932727,4,2090,0.0019138755980861245,Maringá,"c(-51.93932727, -23.4329087)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA ESTADUAL DIRCE DE AGUIAR MAIA,-23.4049264,-51.9586675,6,2090,0.0028708133971291866,Maringá,"c(-51.9586675, -23.4049264)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA ESTADUAL DOUTOR RODRIGUES ALVES,-23.4053837,-51.9289385,11,2090,0.005263157894736842,Maringá,"c(-51.9289385, -23.4053837)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA ESTADUAL ELVIRA BALANI DOS SANTOS,-23.42611833,-51.967845,3,2090,0.0014354066985645933,Maringá,"c(-51.967845, -23.42611833)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA ESTADUAL IPIRANGA,-23.41607,-51.94853667,14,2090,0.0066985645933014355,Maringá,"c(-51.94853667, -23.41607)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA ESTADUAL PRESIDENTE KENNEDY,-23.4141159,-51.9540733,14,2090,0.0066985645933014355,Maringá,"c(-51.9540733, -23.4141159)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA ESTADUAL RUI BARBOSA,-23.3712707,-52.0638549,1,2090,4.784688995215311e-4,Iguatemi/São Domingos,"c(-52.0638549, -23.3712707)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA ESTADUAL SILVIO MAGALHAES BARROS,-23.3949114,-51.9677732,1,2090,4.784688995215311e-4,Maringá,"c(-51.9677732, -23.3949114)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA ESTADUAL TOMAZ EDISON DE ANDRADE VIEIRA - ENS. FUND. E MÉDIO,-23.451205,-51.96013,4,2090,0.0019138755980861245,Maringá,"c(-51.96013, -23.451205)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA LÉO KANNER - A.M.A. (PARTICULAR),-23.3973519,-51.9534853,3,2090,0.0014354066985645933,Maringá,"c(-51.9534853, -23.3973519)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL ANGELA VERGINIA BORIN,-23.4110791,-51.8745156,24,2090,0.011483253588516746,Maringá,"c(-51.8745156, -23.4110791)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL ANTENOR SANCHES,-23.3720089,-51.9465364,5,2090,0.0023923444976076554,Maringá,"c(-51.9465364, -23.3720089)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL ARIOVALDO MORENO,-23.3940073,-51.9216661,12,2090,0.005741626794258373,Maringá,"c(-51.9216661, -23.3940073)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL AYRTON PLAISANT,-23.41568197,-51.92679625,6,2090,0.0028708133971291866,Maringá,"c(-51.92679625, -23.41568197)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL CAMPOS SALLES,-23.4304215,-51.9049061,10,2090,0.004784688995215311,Maringá,"c(-51.9049061, -23.4304215)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL CELESTIN FREINET,-23.4159005,-51.9781348,1,2090,4.784688995215311e-4,Maringá,"c(-51.9781348, -23.4159005)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL DEPUTADO FEDERAL DR ULYSSES GUIMARAES,-23.3967698,-51.9785427,3,2090,0.0014354066985645933,Maringá,"c(-51.9785427, -23.3967698)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL DIDEROT ALVES DA ROCHA LOURES,-23.378216,-51.9297324,3,2090,0.0014354066985645933,Maringá,"c(-51.9297324, -23.378216)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL DOM JAIME LUIZ COELHO (VINICIUS DE MORAIS),-23.465671,-51.9224251,11,2090,0.005263157894736842,Maringá,"c(-51.9224251, -23.465671)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL DONA ANGELINA LONARDON MENEGUETTI,-23.3793731,-52.0620373,8,2090,0.003827751196172249,Iguatemi/São Domingos,"c(-52.0620373, -23.3793731)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL DR OSVALDO CRUZ,-23.42159394,-51.93094413,7,2090,0.0033492822966507177,Maringá,"c(-51.93094413, -23.42159394)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL DR. HELENTON BORBA CORTES,-23.4400324,-51.896179,8,2090,0.003827751196172249,Maringá,"c(-51.896179, -23.4400324)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL DR. JOÃO BATISTA SANCHES,-23.4554597,-51.9114388,19,2090,0.00909090909090909,Maringá,"c(-51.9114388, -23.4554597)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL DR. LUIZ GABRIEL GUIMARAES SAMPAIO,-23.4135772,-51.9020892,43,2090,0.02057416267942584,Maringá,"c(-51.9020892, -23.4135772)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL FERNAO DIAS,-23.3836373,-52.0312815,3,2090,0.0014354066985645933,Iguatemi/São Domingos,"c(-52.0312815, -23.3836373)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL GABRIELA MISTRAL,-23.43048271,-51.91907477,6,2090,0.0028708133971291866,Maringá,"c(-51.91907477, -23.43048271)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL JOAQUIM MARIA MACHADO DE ASSIS,-23.4095569,-51.8691574,35,2090,0.01674641148325359,Maringá,"c(-51.8691574, -23.4095569)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL MAESTRO ANICETO MATTI,-23.3878585,-51.9048102,7,2090,0.0033492822966507177,Maringá,"c(-51.9048102, -23.3878585)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL NADYR MARIA ALEGRETTE - CAIC,-23.3805597,-51.932056,12,2090,0.005741626794258373,Maringá,"c(-51.932056, -23.3805597)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL OCTÁVIO PERIOTTO,-23.45850167,-51.90979,21,2090,0.010047846889952153,Maringá,"c(-51.90979, -23.45850167)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL ODETE RIBAROLLI GOMES CASTRO,-23.4334817,-51.9567004,2,2090,9.569377990430622e-4,Maringá,"c(-51.9567004, -23.4334817)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL OLGA AIUB FERREIRA,-23.4078704,-51.8809228,42,2090,0.020095693779904306,Maringá,"c(-51.8809228, -23.4078704)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL OSCAR PEREIRA DOS SANTOS - ENSINO FUNDAMENTAL,-23.4441189,-51.9777029,5,2090,0.0023923444976076554,Maringá,"c(-51.9777029, -23.4441189)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL PADRE PEDRO RYO TANAKA,-23.44554102,-51.93273683,5,2090,0.0023923444976076554,Maringá,"c(-51.93273683, -23.44554102)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL PASTOR JOÃO BARBOSA DE MACEDO,-23.381162,-51.901501,2,2090,9.569377990430622e-4,Maringá,"c(-51.901501, -23.381162)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL PAULO FREIRE,-23.3733965,-52.0613454,5,2090,0.0023923444976076554,Iguatemi/São Domingos,"c(-52.0613454, -23.3733965)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL PION. SILVINO FERNANDES DIAS,-23.3991357,-51.9301028,9,2090,0.00430622009569378,Maringá,"c(-51.9301028, -23.3991357)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL PIONEIRA JESUINA DE JESUS FREITAS,-23.4039822,-51.9597158,4,2090,0.0019138755980861245,Maringá,"c(-51.9597158, -23.4039822)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL PIONEIRA MARIANA VIANA DIAS,-23.3973997,-51.8856517,38,2090,0.01818181818181818,Maringá,"c(-51.8856517, -23.3973997)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL PIONEIRO GERALDO MENEGHETTI,-23.4107318,-51.9107485,25,2090,0.011961722488038277,Maringá,"c(-51.9107485, -23.4107318)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL PIONEIRO MANUEL DIAS DA SILVA,-23.4697322,-51.9123211,13,2090,0.006220095693779904,Maringá,"c(-51.9123211, -23.4697322)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL PROFESSOR JOSE DARCY DE CARVALHO,-23.4000581,-51.9425356,5,2090,0.0023923444976076554,Maringá,"c(-51.9425356, -23.4000581)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL PROFESSOR JOSE GALETTI,-23.46583948,-51.91281612,3,2090,0.0014354066985645933,Maringá,"c(-51.91281612, -23.46583948)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL PROFESSOR JOSE MARCHESINI,-23.4205077,-51.8866241,299,2090,0.1430622009569378,Maringá,"c(-51.8866241, -23.4205077)"
10123,CRISTIAN MARCOS MAIA DA SILVA,ESCOLA MUNICIPAL PROFESSOR JOSÉ HIRAN SALLEÉ,-23.389247,-51.9752986,1,2090,4.784688995215311e-4,Maringá,"c(-51.9752986, -23.389247)"
