wavelength_nm,river,depth,mean,sd,se,n,mean_l,mean_h,depth_cm,water_type,wavelength_label
354,baia,250,0.52137,0.12656786479987722,0.07307399081296528,3,0.4482960091870347,0.5944439908129653,2.872,black,354 nm
354,baia,2500,0.005186666666666667,0.0032157321613177506,0.0018566038289785404,3,0.0033300628376881263,0.007043270495645207,28.72,black,354 nm
354,baia,3000,0.0019799875,0.0021071958856054415,0.0014900125000000001,2,4.899749999999999e-4,0.00347,34.464,black,354 nm
354,baia,3500,3.6712333333333334e-4,6.495687174559236e-4,3.7502867388033745e-4,3,-7.905340547004116e-6,7.421520072136708e-4,40.208,black,354 nm
354,baia,4000,-1.13759535e-4,1.640027617970272e-4,1.15967465e-4,2,-2.29727e-4,2.2079299999999984e-6,45.952,black,354 nm
354,baia,4500,-4.7317699999999997e-4,8.604273247636899e-5,4.967679475704259e-5,3,-5.228537947570426e-4,-4.235002052429574e-4,51.696,black,354 nm
354,baia,500,0.3261,0.04244943226946623,0.024508191147723117,3,0.3015918088522769,0.3506081911477231,5.744,black,354 nm
354,baia,5000,-5.32823e-4,NA,NA,1,NA,NA,57.44,black,354 nm
354,baia,5500,-2.1825466666666667e-4,1.1022820652779095e-4,6.364028471110977e-5,3,-2.8189495137777645e-4,-1.5461438195555688e-4,63.184,black,354 nm
354,baia,6000,-3.87724e-4,NA,NA,1,NA,NA,68.928,black,354 nm
354,baia,6500,-3.605903e-4,2.504130048848701e-4,1.4457601577886286e-4,3,-5.051663157788628e-4,-2.1601428422113713e-4,74.672,black,354 nm
354,baia,7000,-6.054946666666667e-4,1.7276290759978932e-4,9.974471120872081e-5,3,-7.052393778753875e-4,-5.057499554579458e-4,80.416,black,354 nm
354,distilled,1000,1.02266,NA,NA,1,NA,NA,11.488,distilled,354 nm
354,distilled,10000,0.93206,NA,NA,1,NA,NA,114.88,distilled,354 nm
354,distilled,2000,0.96181,NA,NA,1,NA,NA,22.976,distilled,354 nm
354,distilled,4000,0.95505,NA,NA,1,NA,NA,45.952,distilled,354 nm
354,distilled,6000,0.97605,NA,NA,1,NA,NA,68.928,distilled,354 nm
354,distilled,8000,0.95121,NA,NA,1,NA,NA,91.904,distilled,354 nm
354,ivinhema,1000,0.4758966666666667,0.025984292049877657,0.015002038009698718,3,0.46089462865696795,0.4908987046763654,11.488,white,354 nm
354,ivinhema,2000,0.26491000000000003,0.014220928239745818,0.0082104567473436,3,0.2566995432526564,0.27312045674734364,22.976,white,354 nm
354,ivinhema,250,0.71301,0.03087280356559798,0.017824421449236433,3,0.6951855785507636,0.7308344214492365,2.872,white,354 nm
354,ivinhema,3000,0.11879666666666668,0.01441091368835902,0.008320144897242544,3,0.11047652176942413,0.12711681156390922,34.464,white,354 nm
354,ivinhema,4000,0.048106666666666666,0.008418178742063711,0.004860237762816869,3,0.0432464289038498,0.052966904429483534,45.952,white,354 nm
354,ivinhema,500,0.62982,0.0548663503433571,0.03167710214018954,3,0.5981428978598105,0.6614971021401896,5.744,white,354 nm
354,ivinhema,5000,0.02203,0.004994837334688689,0.002883770679740908,3,0.019146229320259094,0.024913770679740908,57.44,white,354 nm
354,ivinhema,6000,0.009363333333333333,0.0025977361939452845,0.001499803690857944,3,0.007863529642475388,0.010863137024191278,68.928,white,354 nm
354,ivinhema,7000,0.00427,0.0012257242756835648,7.076722405181653e-4,3,0.003562327759481835,0.004977672240518166,80.416,white,354 nm
354,ivinhema,8000,0.0012832103333333333,7.81641234020016e-4,4.512807768711675e-4,3,8.319295564621658e-4,0.0017344911102045008,91.904,white,354 nm
354,ivinhema,9000,4.029406666666667e-4,2.61910376358657e-4,1.5121402629422683e-4,3,2.517266403724399e-4,5.541546929608936e-4,103.392,white,354 nm
